,id,author_url
0,41171,JustJames
1,41171,cavocorax
2,41171,rachel12610
3,41171,Silaena
5,41171,paradigmamnesia
6,41171,MissB_Tea
7,41171,ifjuly
8,48058,SakuraSushi
9,78801,mariatorres
10,65303,daylon-r-thomas
11,32444,terri-harplady
12,43095,whisperingpinestea
13,28779,terri-harplady
14,41171,scribbles
15,41171,terri-harplady
16,41171,keychange
17,48058,CashWillis
18,48058,DrinkAllTheTea
19,48058,mahalotea
20,78801,jack-fender
21,78801,BenjaminsTea
22,65303,twinofmunin
23,65303,Proust614
24,65303,curlygc
25,65303,DharmaTea
26,32444,paradigmamnesia
27,32444,misslena1221
28,32444,Silaena
29,43095,toadman208
30,43095,marchmadnessupdates
31,43095,pbcinsurancegroup
32,43095,Jlvintagelove
33,28779,Silaena
34,28779,kittenna
35,28779,butikiteas
36,28778,Silaena
37,48058,smghaemi
38,48058,speakingroses
39,48058,franklaoalhambra
40,48058,klinik-psikolog-serhat-damar
41,48325,ATippyCanoeForTwo
43,65303,aLabGunsabston
44,65303,awkwardsoul
45,65303,jack-black-tea
46,65303,jeffzekas
47,32444,kittenna
48,32444,autumn-hearth
49,32444,ks6
50,43095,mahjongfan
51,43095,KimConvert
52,43095,eastkyteaguy
53,28779,cavocorax
54,28779,TheTeaFairy
55,28778,kittenna
56,28778,fuzzy_peachkin
57,28778,butikiteas
58,48058,strony-internetowe
59,48058,tigress_al
60,48325,sander81
61,48325,wellnessspa
62,48325,dilipjoshi324
63,19426,teaequalsbliss
67,65303,tea-junkie
69,41785,Silaena
70,32444,indigobloom
71,32444,Flightysprite
72,32444,hammaryn
73,43095,wellnessspa
74,43095,laptopmy
75,28779,fuzzy_peachkin
76,28779,joonsusanna
77,28779,dinosara
79,40986,MissB_Tea
80,28778,dinosara
81,28778,terri-harplady
82,28778,CrowKettle
83,29244,paradigmamnesia
84,48325,John_C
85,48325,eastkyteaguy
86,48325,Lupiressmoon
87,19426,LiberTEAS
88,19426,the-lazy-literatus
89,19426,Dagwed
90,19426,Roughage
91,35881,terri-harplady
96,41785,terri-harplady
97,41785,TastyBrew
98,41785,Scharp
99,28779,azzrian
102,40986,cavocorax
103,40986,Silaena
104,28778,RachelJ
105,28778,TastyBrew
106,28778,Aedon2
107,29244,TheTeaFairy
108,29244,awkwardsoul
109,48325,Inkay
110,48325,arbutus
111,48325,ac4lt
112,19426,NofarS
113,19426,morvaltur
114,19426,Stelgard
115,19426,alicezhou
116,35881,Silaena
117,35881,kittenna
118,35881,joonsusanna
119,21629,ks6
121,41785,CrowKettle
122,41785,southwestender
123,41785,caile
128,40986,Courtney
129,40986,rachel12610
130,7839,cteresa
131,29244,hammaryn
132,29244,Silaena
133,29244,inguna
134,35881,dinosara
135,35881,TastyBrew
136,35881,Uniquity
137,21629,SimplyJenW
138,21629,ashmanra
139,21629,terri-harplady
140,41785,Cesc
141,41785,Sirentian
142,41785,Rarity
146,40986,dinosara
147,40986,terri-harplady
148,40986,ifjuly
149,7839,JillDragon
150,7839,Ysaurella
151,7839,macaronic
152,29244,KittyLovesTea
153,29244,Dexter
154,29244,boychik
155,35881,Starfevre
156,35881,rachel12610
157,35881,Aeoliana
158,21629,tigress_al
159,21629,JacquelineM
160,21629,Silaena
161,21629,MegWesley
162,40986,jeweledthumb
163,40986,alm430
164,7839,erin_kestrel
165,7839,Barbara78
166,7839,hazar154
167,29244,ealexandergerster
168,21629,Mercuryhime
169,21629,pandamanda
170,7839,Asteos
171,7839,ashmanra
172,7839,Gabix
173,28779,CrowKettle
174,32444,ifjuly
175,28779,Pureleaf
176,28779,gmathis
177,28779,tea-sipper
178,32444,CharlotteZero
179,32444,BTVSGal
180,32444,treyhunner
181,32444,lee
182,65303,dr-jim
183,43095,Susmita
184,28779,tigress_al
185,28779,bonniejohnstone
186,28779,RachelJ
187,48325,Rosehips
188,32444,alliegirl3790
189,32444,Inkay
190,32444,luckyme
191,65303,Haveteawilltravel
192,65303,Grill
193,65303,Cwyn
194,28778,chelleswelly
195,48058,ductrung1530
196,43095,SakuraSushi
197,43095,milkmantep
198,43095,tigress_al
199,43095,Kasiopea
200,28779,Flightysprite
201,28779,alysha-r
202,28779,Uniquity
203,48325,frolic
204,48325,Rufus
205,48325,leah-felicity-lucci
206,32444,Ubacat
207,32444,skysamurai
208,65303,kieblera5
209,28778,cavocorax
210,28778,bonniejohnstone
211,28778,paradigmamnesia
212,5094,Kryptryx
213,16603,amyoh2
214,49835,ashmanra
215,48058,Kasiopea
216,48058,Kaylee
217,48058,mtchyg
218,43095,kingbel
219,43095,Rosehips
220,43095,Netherhero
221,48325,tamarindel
222,48325,faybingler
223,48325,nishnek
224,62201,thuykieu
225,28778,Uniquity
226,28778,whatshesaid
227,28778,nburriss
228,5094,lorimarantopittman
229,5094,Rellybob
230,16603,LiberTEAS
231,16603,teaequalsbliss
232,16603,JoshuaJones
233,16603,Zyriel
234,49835,rainycityjen
235,49835,roswellstrange
236,49835,tigress_al
237,49835,tperez
238,18776,keychange
239,48058,customessay
240,48058,Scheherazade
241,48058,Netherhero
242,43095,thaibloom
243,43095,KKpeltzer
244,48325,Mysticchyna
245,48325,jwhisk
246,48325,the-book-lion
247,62201,i-3-tea
248,62201,hachachacha
249,62201,agenpoker88
